"id";"nome";"endereco_id"
165;"DOCE FOLIA ESCOLA EDUCACAO E RECREACAO INFANTIL
                    ";174
166;"DOM BOSCO COLEGIO
                    ";175
167;"DOMINANTE COLEGIO
                    ";176
168;"DOZE DE OUTUBRO CENTRO DE EDUCACAO INFANTIL
                    ";177
169;"DULCE FERREIRA BOARIN PROFESSORA
                    ";178
170;"DUQUE DE CAXIAS EMEF
                    ";179
171;"EDUARDO GOMES BRIGADEIRO EMEI
                    ";180
172;"EDUARDO PRADO
                    ";181
173;"ELIAS A ZOGBI ESPACO CRIANCA CRECHE PARTICULAR CONVENIADA
                    ";182
174;"ELITE COLEGIO DE EIFM
                    ";183
175;"ELITE REDE DE ENSINO
                    ";184
176;"EMECE INTERNACIONAL COLEGIO
                    ";185
177;"EMEI NELSON MANDELA
                    ";151
178;"EMILIE DE VILLENEUVE ESPACO DA CRIANCA CEI
                    ";19
179;"ENZO SILVEIRA DOUTOR EMEI
                    ";186
180;"EQUIPE COLEGIO
                    ";187
181;"ESCALADA COLEGIO
                    ";188
182;"ESCOLA AQUARELA
                    ";189
183;"ESCOLA BILINGUE PUERI DOMUS  UNIDADE III  PERDIZES
                    ";190
184;"ESCOLA CASANOVA
                    ";191
185;"ESCOLA CORUJINHA FELIZ
                    ";192
186;"ESCOLA DE CAPACITACAO PROFISSIONAL BOA VONTADE
                    ";193
187;"ESCOLA DE EDUCACAO INFANTIL ARTESCOLA CLUBE DO MICKEY
                    ";194
188;"ESCOLA DE EDUCACAO INFANTIL CORUJINHA FELIZ BABY
                    ";195
189;"ESCOLA DE EDUCACAO INFANTIL MILENIO
                    ";196
190;"ESCOLA DE EDUCACAO INFANTIL TINY PEOPLE
                    ";197
191;"ESCOLA DE HUMANIDADES JOAO FILGUEIRAS LIMA  FABRICA
                    ";198
