"id";"nome";"endereco_id"
240;"GRAO DE CHAO ESCOLA DE EDUCACAO INFANTIL ENSINO FUNDAMENTAL
                    ";237
241;"GRAPHEIN COLEGIO
                    ";238
242;"GRUPO DE ESTUDO DA EDUCACAO A DISTANCIA
                    ";213
243;"GRUPO MIUDINHO SEGMENTO
                    ";239
244;"HELENA DE CASTRO INSTITUTO DE EDUCACAO INFANTIL
                    ";148
245;"HELENA LOMBARDI BRAGA PROFESSORA EMEF
                    ";240
246;"HIGIENOPOLIS COLEGIO
                    ";241
247;"HIGIENOPOLIS ESCOLA
                    ";242
248;"HOMEM DE MELLO BARAO
                    ";243
249;"HORACIO AUGUSTO SILVEIRA ESCOLA SENAI
                    ";244
250;"HOTELARIA E TURISMO DE SAO PAULO ESCOLA DE
                    ";245
251;"HUMBERTO DANTAS EMEF
                    ";246
252;"IBRAP INSTITUTO BRASILEIRO DE PAISAGISMO
                    ";247
253;"IMPACTA COLEGIO DE TECNOLOGIA DA INFORMACAO
                    ";248
254;"IMPERATRIZ LEOPOLDINA COLEGIO
                    ";249
255;"INACI COLEGIO INTEGRAL UNIDADE CENTRO
                    ";250
256;"INSTITUTO BRASILEIRO DE DESING DE INTERIORES IBDI
                    ";251
257;"INSTITUTO DE ENSINO YESHIVA TMIMIM
                    ";105
258;"INSTITUTO EDISON
                    ";20
259;"INSTITUTO EDUCACIONAL ADONAI
                    ";252
260;"INSTITUTO NACIONAL DE EDUC A DISTANCIA INED
                    ";253
261;"INSTITUTO NACIONAL DE EDUCACAO CONTINUADA INAEC
                    ";43
262;"IREI COLEGIO
                    ";254
263;"ITALIANOS
                    ";116
264;"JACARANDA BERCARIO E EDUCACAO INFANTIL
                    ";82
265;"JARDIM PRIMAVERA I CRECHE MUNICIPAL
                    ";255
266;"JARDIM SAO PAULO COLEGIO
                    ";256
267;"JARDIM SAO PAULO I CEI INDIRETO
                    ";61
268;"JOAO KOPKE
                    ";257
269;"JOAO MENDONCA FALCAO EMEI
                    ";121
270;"JOAO THEODORO EMEI
                    ";258
271;"JOAQUIM LEME DO PRADO PROFESSOR
                    ";259
272;"JOAQUIM NABUCO
                    ";260
273;"JOSE AUGUSTO CESAR DOUTOR EMEI
                    ";261
274;"JOSE BONIFACIO DE ANDRADA E SILVA EMEI
                    ";54
275;"JOSE BONIFACIO EXTERNATO
                    ";262
276;"JOSE CANDIDO DE SOUZA
                    ";263
277;"JOSE CARLOS DIAS PROFESSOR EMEF
                    ";264
278;"JOSE DE PAIVA NETTO INSTITUTO DE EDUCACAO
                    ";265
279;"JOSE MARIA PINTO DUARTE TENENTE EMEF
                    ";266
280;"LAR ANJO GABRIEL ESCOLA DE EDUCACAO INFANTIL
                    ";267
281;"LAR CRIANCA FELIZ CEI INDIRETA
                    ";268
282;"LEAO NORTE COLEGIO
                    ";269
283;"LEAOZINHO XIII ESCOLA DE RECREACAO INFANTIL
                    ";269
284;"LEILA GUEDES COLEGIO
                    ";270
285;"LICEU CARVALHO PINTO EIFM
                    ";100
286;"LICEU DE ARTES E OFICIOS DE SAO PAULO
                    ";271
287;"LOBATINHO
                    ";239
288;"LOURENCO CHANG PE  CR P CONV
                    ";272
289;"LUBAVITCH INSTITUTO DE ENSINO
                    ";273
290;"LUGAR DE CRIANCA ESCOLA DE EDUCACAO INFANTIL
                    ";185
291;"LUIZ BIASE CONEGO CRECHE
                    ";274
292;"LUIZ GONZAGA RIGHINI PROFESSOR
                    ";275
293;"MACHADO COELHO COLEGIO
                    ";276
294;"MACKENZIE COLEGIO PRESBITERIANO
                    ";277
295;"MACUNAIMA TEATRO ESCOLA
                    ";278
296;"MADRE MAZZARELLO INSTITUTO
                    ";279
297;"MALVINA RODRIGUES VIEIRA CEI
                    ";280
298;"MANUEL DA NOBREGA PADRE
                    ";281
299;"MAPLE BEAR CANADIAN SCHOOL SANTANA
                    ";282
300;"MAPLE BEAR CANADIAN SCHOOL SANTANA  UNIDADE II
                    ";283
301;"MAPLE BEAR CASA VERDE
                    ";284
302;"MAPLE BEAR PACAEMBU
                    ";149
303;"MAPLE BEAR POMPEIA
                    ";285
304;"MAPLE BEAR POMPEIA  UNIDADE II
                    ";286
305;"MARANATA CRECHE
                    ";287
306;"MARANATA DE ENSINO INSTITUTO
                    ";288
307;"MARIA AUGUSTA SARAIVA DOUTORA
                    ";289
308;"MARIA DULCE CRECHE
                    ";284
309;"MARINA CINTRA PROFESSORA
                    ";290
310;"MARIO TEIXEIRA MARIANO PROFESSOR
                    ";291
311;"MARY
                    ";254
312;"MATILDE MACEDO SOARES
                    ";292
313;"MAURO DE OLIVEIRA PROFESSOR
                    ";118
314;"MAXIMO DE MOURA SANTOS PROFESSOR EMEF
                    ";293
315;"MDB SANTA MARIA
                    ";294
316;"MENINO DEUS CRECHE
                    ";295
317;"MIMOSO ESCOLA DE EDUCACAO INFANTIL
                    ";296
318;"MISS BROWNE
                    ";297
319;"MMDC CRECHE
                    ";298
320;"MODELO INSTITUICAO EDUCACIONAL EDUCANDARIO
                    ";299
321;"MONET NUCLEO DE EDUCACAO ESPECIAL
                    ";300
322;"MONITOR INSTITUTO
                    ";251
323;"MONTEIRO LOBATO EMEI
                    ";301
324;"MOYE PADRE COLEGIO
                    ";302
325;"MUNDO DOCE CENTRO DE RECREACAO INFANTIL
                    ";303
326;"MUNDO MAGICO CENTRO DE EDUCACAO INFANTIL
                    ";113
327;"MUNDO MELHOR CENTRO EDUCACIONAL
                    ";304
328;"MY SCHOOL
                    ";185
329;"MY SCHOOL EDUCACAO INFANTIL BILINGUE
                    ";185
330;"NAIR SALGADO CEI INDIRETO
                    ";305
331;"NARBAL FONTES PROFESSORA
                    ";306
332;"NATHALIA BORALLI CEAACA
                    ";307
333;"NAZIR MIGUEL VEREADOR CRECHE MUNICIPAL
                    ";308
334;"NELSON BREVE CENTRO DE EDUCACAO INFANTIL
                    ";309
335;"NOSSA SENHORA CONSOLATA COLEGIO
                    ";269
336;"NOSSA SENHORA DAS DORES COLEGIO
                    ";310
337;"NOSSA SENHORA DE SION COLEGIO
                    ";311
338;"NOSSA SENHORA DO ROSARIO
                    ";312
339;"NOSSA SRA DE FATIMA CRECHE
                    ";313
340;"NOTRE DAME COLEGIO
                    ";314
341;"NOVA EPOCA COLEGIO
                    ";315
342;"NOVA ERA COLEGIO
                    ";316
343;"NOVA META COLEGIO
                    ";51
344;"NOVA VISAO COLEGIO
                    ";317
345;"NOVE DE JULHO COLEGIO UNIDADE II
                    ";318
346;"NOVO ALICERCE COLEGIO
                    ";319
347;"NOVO TEMPO COLEGIO
                    ";320
348;"OBJETIVO CENTRO INTERESCOLAR UNIDADE POMPEIA
                    ";321
349;"OCTAVIO MENDES DOUTOR
                    ";322
350;"OFELIA FONSECA COLEGIO
                    ";323
351;"OLGA FERRAZ COLEGIO
                    ";154
352;"OLIVA IRENE BAYERLEIN SILVA EMEF
                    ";111
353;"OR TORAH ESCOLA
                    ";99
354;"ORESTES GUIMARAES
                    ";324
355;"ORLANDO HORACIO VITA PROFESSOR
                    ";55
356;"OSWALDO CRUZ COLEGIOS INTEGRADOS PAIS LEME
                    ";325
357;"OSWALDO CRUZ ESCOLA TECNICA
                    ";325
358;"OURO GROSSO COLEGIO
                    ";326
359;"PACAEMBU CRECHE PARTICULAR CONVENIADA
                    ";327
360;"PADRE ANCHIETA EMEI
                    ";328
361;"PANAMERICANA DE ARTE
                    ";329
362;"PANIFICACAO E CONFEITARIA INSTITUTO DE DESENVOLVIMENTO DE
                    ";330
363;"PARI CRECHE DO
                    ";331
364;"PARQUE PERUCHE CRECHE
                    ";180
365;"PATRICIA GALVAO EMEI
                    ";92
366;"PAULO AVELAR COLEGIO
                    ";332
367;"PAULO DE AVELAR COLEGIO
                    ";333
368;"PAULO LUIG FREI
                    ";334
369;"PAULO MACHADO DE CARVALHO
                    ";335
370;"PAULO NOGUEIRA FILHO EMEF
                    ";336
371;"PAULO SETUBAL
                    ";131
372;"PAULO VI
                    ";97
373;"PEDACINHO DO CEU COLEGIO
                    ";337
374;"PEDRITA ESCOLA DE EDUCACAO INFANTIL
                    ";338
375;"PEDRO ALVARES CABRAL MORAES PROFESSOR EMEI
                    ";339
376;"PEDRO COSTA DEPUTADO
                    ";236
377;"PEDRO II
                    ";340
378;"PEDRO MONTEIRO DO AMARAL CAPITAO
                    ";341
379;"PENITENCIARIA FEMININA DA CAPITAL
                    ";342
380;"PENITENCIARIA FEMININA DE SANTANA
                    ";343
381;"PENTAGONO COLEGIO UNIDADE CAIUBI
                    ";77
382;"PERDIZES AGNUS DEI ESCOLA
                    ";344
383;"PIAGET COLEGIO
                    ";117
384;"PIPAS V  CR P CONV
                    ";345
385;"PIRATININGA
                    ";154
386;"POLICIA MILITAR COLEGIO DA
                    ";346
387;"POLITEIA  ESCOLA DEMOCRATICA DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL
                    ";103
388;"POMPEINHA ESCOLA EDUCACAO INFANTIL
                    ";347
389;"PONTE PEQUENA CRECHE
                    ";262
390;"PROGRESSO SANTA MARIA COLEGIO
                    ";221
391;"PROJETO VIDA EEI UNIDADE SOROR ANGELICA
                    ";348
392;"PROJETO VIDA ESCOLA ENSINO FUNDAMENTAL
                    ";349
393;"PROVIM  PROGRAMA VIDA MELHOR  DOM BOSCO
                    ";210
394;"PRUDENTE DE MORAES
                    ";210
395;"PUERI MUNDI COLEGIO
                    ";350
396;"QUINTAL DA CRIANCA CENTRO DE EDUCACAO INFANTIL
                    ";351
397;"RAPHAELA CAPELLANO DIAS CRECHE
                    ";59
398;"RED HOUSE INTERNACIONAL SCHOOL  UNIDADE II
                    ";352
399;"RED HOUSE INTERNACIONAL SCHOOL SANTANA
                    ";353
400;"RED HOUSE INTERNATIONAL SCHOOL
                    ";199
401;"RED HOUSE INTERNATIONAL SCHOOL  ESCOLA BRASILEIRA COM CURRICULO INTERNACIONAL  CAMPUS PERDIZES
                    ";298
402;"REGINA ANGELORUM NUCLEO
                    ";48
403;"RENASCENCA HEBRAICO BRASILEIRO COLEGIO UNIDADE II
                    ";144
404;"REPUBLICA DA BOLIVIA
                    ";354
405;"REYNALDO DE MARIA FREITAS E SILVA PROFESSOR CEI DIR
                    ";355
406;"RIO BRANCO UNIDADE HIGIENOPOLIS COLEGIO
                    ";356
407;"ROBERTO SIMONSEN ESCOLA SENAI
                    ";357
408;"ROCHA CARDOSO COLEGIO
                    ";358
409;"ROGACIONISTA
                    ";321
410;"ROMAO PUIGARI
                    ";359
411;"ROMULO PERO PROFESSOR
                    ";360
412;"RUY BARBOSA EMEF
                    ";361
413;"SAGRADO CORACAO DE JESUS COLEGIO
                    ";185
414;"SAINT CLAIR COLEGIO
                    ";130
415;"SAINT LUCAS COLEGIO
                    ";162
416;"SAL DA TERRA
                    ";362
417;"SANTA CASA ESCOLA DE ENFERMAGEM DA
                    ";363
418;"SANTA INES COLEGIO DE
                    ";364
419;"SANTA MARCELINA COLEGIO
                    ";238
420;"SANTA MARIA ESCOLA
                    ";53
421;"SANTA MARIA GORETTI COLEGIO TECNICO
                    ";365
422;"SANTA MARIA INSTITUTO DE EDUCACAO INFANTIL
                    ";366
423;"SANTA MARINA CRECHE
                    ";367
424;"SANTA OLIMPIA
                    ";368
425;"SANTA RITA ESCOLA
                    ";369
426;"SANTA TERESINHA COLEGIO SALESIANO
                    ";370
427;"SANTA TEREZINHA CRECHE
                    ";371
428;"SANTO EDUARDO EXTERNATO
                    ";372
429;"SANTO EXPEDITO
                    ";373
430;"SANTOS DUMONT EMEI
                    ";263
431;"SAO DOMINGOS COLEGIO
                    ";374
432;"SAO GERALDO CRECHE
                    ";375
433;"SAO GONCALO INSTITUTO DE EDUCACAO
                    ";376
434;"SAO JOSE ESCOLA DE ENFERMAGEM
                    ";241
435;"SAO PAULO
                    ";377
436;"SAO SEBASTIAO
                    ";378
437;"SAO VITO CRECHE
                    ";379
438;"SECRETARIA DE SERVICOS OBRAS LIMPEZA URBANA CENTRO CONV INF
                    ";380
439;"SEMENTINHA DO SABER
                    ";381
440;"SENAC FRANCISCO MATARAZZO
                    ";154
441;"SENAC SANTANA
                    ";382
442;"SENAC TIRADENTES
                    ";383
443;"SESI 036 CENTRO DE EDUCACAO INFANTIL
                    ";384
444;"SESI 069 CENTRO EDUCACIONAL
                    ";385
445;"SHADDAI CENTRO DE EDUCACAO INFANTIL
                    ";386
446;"SHALLOM CENTRO DE EDUCACAO INFANTIL
                    ";387
447;"SHALLOM II CENTRO DE EDUCACAO INFANTIL
                    ";388
448;"SILVIO GONZALEZ COLEGIO
                    ";302
449;"SONHO DE CRIANCA CENTRO DE EDUCACAO INFANTIL
                    ";389
450;"SP ESCOLA DE TEATRO
                    ";251
451;"TALMUD TORA HAMAOR COLEGIO
                    ";390
452;"TALMUD TORA MAGUEN AVRAHAM UNIDADE
                    ";391
453;"TARCISIO ALVARES LOBO
                    ";392
454;"TARSILA DO AMARAL ESCOLA
                    ";393
455;"TAUNAY VISCONDE DE
                    ";151
